persona_name,total_customers,actual_churners,churn_rate,avg_monthly_inr,monthly_rev_at_risk_inr,projected_retained,monthly_saving_moderate
Engaged Mid-Tier,1976,239,0.12095141700404859,7473.372545546559,1968383.075,71,530609.4507338057
High-Risk New Customers,786,530,0.6743002544529262,5844.118256997455,3197845.425,158,923370.684605598
Loyal High-Value,1722,155,0.0900116144018583,1875.809073751452,284467.8,46,86287.21739256679
Price-Sensitive Churners,2559,945,0.369284876905041,6054.994831965611,6166729.675,281,1701453.5477823368
